"Energy production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Germany,0.001720273,0.00172233,0.001717453,0.001737971,0.001747195,0.001659917,0.001562311,0.0014314,0.001462595,0.001497555,0.002234794,0.002234843,0.002188222,0.002182984,0.002200802,0.002188309,0.002213405,0.002205047,0.002226777,0.00232297,0.002371034,0.002461634,0.002476895,0.002439105,0.00254504,0.002694512,0.00257208,0.002558873,0.002585176,0.002549748,0.002353617,0.002112988,0.002033327,0.001878244,0.001780967,0.001770141,0.001742763,0.001743998,0.00165111,0.001665904,0.001643446,0.00163505,0.001631871,0.001647079,0.001672186,0.001639828,0.001652646,0.001666757,0.001619068,0.001542246,0.001569782
Ghana,,,,,,,,,,,,0.000262284,0.000269749,0.00027825,0.000285091,0.000284516,0.000288223,0.000292753,0.000289222,0.000300741,0.000302586,0.000300279,0.00029395,0.000273303,0.000267458,0.000275974,0.000286023,0.000289493,0.000291986,0.000296394,0.000296862,0.000304776,0.000308838,0.000308786,0.000309705,0.000309032,0.000310483,0.000310399,0.000296112,0.000301366,0.000306994,0.000305372,0.000297673,0.00029194,0.000296692,0.000296894,0.000295531,0.000286957,0.000294806,0.000295808,
Gibraltar,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Greece,3.86815E-05,4.07052E-05,4.56668E-05,5.84492E-05,6.11066E-05,7.49761E-05,8.8922E-05,9.25322E-05,9.97127E-05,0.000118797,0.000191989,0.000236025,0.000244349,0.000261929,0.000272772,0.000323566,0.000377719,0.000389895,0.000370324,0.000394732,0.000383297,0.000454012,0.000562625,0.000603928,0.000649378,0.000697805,0.000724479,0.000804461,0.000821421,0.000877516,0.000905301,0.000881719,0.000865177,0.000857932,0.00086532,0.000871302,0.000848032,0.000883031,0.000903258,0.000871704,0.000908907,0.00090322,0.000923716,0.000891432,0.000924014,0.000922326,0.000897287,0.000903661,0.000873417,0.000889927,0.00080881
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,0.000345454,0.000344705,0.000345388,0.000345598,0.000392498,0.000407696,0.00040404,0.000396821,0.000404094,0.0003671,0.000370027,0.000389827,0.000381777,0.000363029,0.000349976,0.000374155,0.000369819,0.000369499,0.000373106,0.00037998,0.000383799,0.000387673,0.000378134,0.0003688,0.000382407,0.000413698,0.000445849,0.000463147,0.000489037,0.000466113,0.000454231,0.000458265,0.000452526,0.000438409,0.000432239,0.0004167,0.000407465,0.000393333,0.000431223,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,0.000287433,0.000293325,0.000295698,0.00030102,0.00030648,0.000309859,0.000313195,0.000318395,0.000324813,0.000329974,0.000269623,0.000266557,0.00026387,0.000258863,0.000255252,0.000186918,0.000185951,0.000186278,0.000183688,0.000175796,0.000174314,0.000181476,0.000176817,0.000177786,0.000176746,0.000198762,0.000193979,0.000194928,0.000190601,0.000178332,0.000175473,0.000193922,0.000184383,0.000179506,0.000205462,0.000207664,0.000208733,0.000204309,0.000189235,
Honduras,,,,,,,,,,,,0.000366321,0.000365551,0.000362162,0.000361982,0.00035843,0.000354978,0.000354546,0.000355347,0.000354386,0.000362391,0.000356296,0.00035447,0.000349199,0.000342564,0.00034736,0.000339406,0.000348123,0.000346229,0.000343175,0.000346477,0.000338545,0.000328133,0.000321315,0.000306918,0.000297936,0.000297473,0.000326194,0.000317966,0.000242494,0.000244801,0.000235437,0.000238629,0.000245345,0.000247056,0.000257731,0.000281641,0.000296065,0.000284555,0.000294615,
"Hong Kong, China",,,,,,,,,,,,7.74404E-06,8.02987E-06,7.87655E-06,8.0249E-06,7.87379E-06,7.95882E-06,7.40132E-06,7.45874E-06,7.57052E-06,7.65976E-06,7.5599E-06,7.71841E-06,7.62739E-06,7.54292E-06,7.75325E-06,7.65127E-06,7.54453E-06,7.68716E-06,7.58303E-06,7.48897E-06,7.40814E-06,7.3771E-06,7.5353E-06,7.44276E-06,7.59434E-06,7.6651E-06,7.55413E-06,7.44349E-06,7.3681E-06,7.33653E-06,7.34001E-06,7.36298E-06,7.36474E-06,7.4399E-06,7.46917E-06,7.5055E-06,7.53494E-06,7.5318E-06,7.49616E-06,
Hungary,,,,,,0.001026043,0.001017939,0.000993527,0.001045421,0.001074225,0.001141172,0.001144306,0.001133962,0.001217028,0.001214977,0.001191575,0.00127609,0.001323879,0.001440573,0.001371509,0.001354341,0.001348912,0.001398765,0.001416956,0.001475203,0.001556388,0.00153101,0.001604989,0.001570125,0.001543376,0.001405854,0.001381095,0.001344154,0.001323672,0.001284492,0.001344591,0.001322831,0.001294846,0.001214201,0.001164306,0.00113782,0.001109707,0.001102306,0.001027292,0.001012435,0.001027958,0.001026967,0.001018134,0.001047357,0.001100188,0.001099522
Iceland,0.000857152,0.000879912,0.000929769,0.000991047,0.001051727,0.00104901,0.001142641,0.001224256,0.001368229,0.001539781,0.001935258,0.002045005,0.002187996,0.002545184,0.00246342,0.002653609,0.002791851,0.003044556,0.003164657,0.003738056,0.003962592,0.004755239,0.004982546,0.005214444,0.005241735,0.00518839,0.005226733,0.005331806,0.005497403,0.005590121,0.005495273,0.005585233,0.005347321,0.005684049,0.005590112,0.005851879,0.005982448,0.006165458,0.006581376,0.007868504,0.008198578,0.008631152,0.0085847,0.008481051,0.008597497,0.008883475,0.010825816,0.012926704,0.014018708,0.013951576,0.014267764
India,,,,,,,,,,,,0.000249821,0.000251542,0.000251012,0.000257611,0.000266281,0.000266633,0.000266977,0.000265814,0.000264433,0.000266939,0.000279205,0.000287367,0.000295266,0.00030393,0.000305175,0.000313174,0.00031621,0.000325866,0.000328959,0.000333967,0.000338114,0.00033646,0.000333815,0.00033926,0.000348137,0.000348337,0.00035287,0.00034556,0.000346867,0.000347667,0.000349571,0.000352367,0.000358401,0.000364609,0.000370493,0.000378443,0.000385641,0.000393237,0.000416041,
Indonesia,,,,,,,,,,,,0.000590877,0.000656086,0.000743295,0.000741443,0.000703251,0.000769147,0.00084185,0.000834701,0.000826716,0.000832702,0.000829107,0.000726512,0.000729135,0.000818395,0.000765914,0.000798356,0.000783247,0.000784163,0.000822968,0.000917169,0.000978465,0.000984327,0.001005112,0.001058617,0.001083495,0.00110991,0.001117909,0.001108827,0.001159536,0.001107127,0.001117339,0.001132386,0.001149027,0.001179149,0.001231729,0.001364278,0.001369272,0.001378173,0.001481971,
Iran,,,,,,,,,,,,0.008111444,0.008835796,0.009989313,0.009997883,0.008687069,0.009274466,0.008624988,0.007695413,0.004614995,0.002093424,0.001985114,0.003121165,0.003083636,0.002674445,0.002634549,0.002107605,0.002570368,0.002414012,0.002998034,0.003267971,0.003497482,0.003540955,0.003705329,0.003709356,0.003743801,0.003698392,0.003639553,0.003634929,0.003990899,0.00408763,0.003912682,0.003949023,0.004326798,0.004453935,0.004558286,0.004654906,0.004828423,0.004769087,0.004782545,
Iraq,,,,,,,,,,,,0.008300665,0.006972743,0.009309173,0.008799061,0.009795255,0.010161213,0.009508771,0.010136486,0.013285396,0.009859111,0.003206357,0.003519172,0.003352738,0.004040404,0.00471971,0.005515456,0.006767216,0.008297893,0.008750183,0.006039768,0.000931734,0.001301493,0.001436492,0.001539154,0.00154422,0.001561065,0.003018618,0.004904776,0.005649492,0.00567108,0.005465039,0.004584828,0.003101981,0.003923183,0.003561749,0.003599193,0.003634524,0.003955706,0.00389395,
Ireland,0.00048855,0.000477982,0.000474449,0.000472597,0.000479603,0.000388235,0.000436348,0.000469113,0.000586608,0.000553101,0.000478053,0.000474794,0.000451244,0.000363136,0.000417479,0.000521277,0.000435625,0.000405553,0.000337168,0.000434178,0.000554037,0.000720569,0.000871056,0.000915033,0.001030136,0.000805094,0.00074485,0.000850669,0.00081317,0.001065231,0.000981782,0.000929091,0.000868241,0.000967782,0.000992448,0.001135576,0.000972669,0.000777315,0.000663698,0.00065573,0.000567412,0.000459107,0.000392354,0.000457384,0.000455101,0.000392997,0.000377688,0.000327561,0.000348353,0.000346467,0.000435205
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,0.002022219,0.002057314,0.001960198,0.001318343,0.001970892,2.5697E-05,2.21764E-05,2.07024E-05,2.33592E-05,4.09713E-05,3.93342E-05,2.03041E-05,1.72317E-05,1.39275E-05,6.91006E-05,8.22021E-05,8.59298E-05,8.84206E-05,8.90898E-05,9.42446E-05,9.43758E-05,9.52681E-05,0.000100671,9.99532E-05,0.000102711,0.000101504,0.000103712,0.00010414,0.000101918,0.000106739,0.000109701,0.000113482,0.000116278,0.000269199,0.00031937,0.000397215,0.000418906,0.000549925,0.000449824,0.000502813
Italy,0.000279456,0.000283168,0.000279628,0.000289984,0.000310666,0.000311658,0.000322024,0.000325435,0.000334226,0.000349299,0.000372556,0.000363694,0.000372074,0.000374437,0.000387265,0.000380804,0.000392583,0.000375725,0.000375014,0.000366817,0.000353875,0.000369473,0.000399459,0.000379267,0.000399268,0.000401074,0.000436745,0.000425726,0.000448268,0.000443774,0.000445402,0.000458656,0.000479025,0.000496954,0.000517923,0.000516416,0.000531631,0.000534418,0.000532753,0.000513803,0.000494317,0.000469461,0.000477475,0.000481186,0.000487323,0.000474645,0.000464225,0.000443416,0.000450336,0.000448294,0.000476052
Jamaica,,,,,,,,,,,,0.000146132,0.00014557,0.00012835,0.000134307,0.000126034,0.000124926,0.000113602,0.000121597,0.000105491,0.00010499,0.000103615,0.000112306,0.000105115,0.00012003,0.000109806,0.000110216,0.000109834,0.000111089,0.000131633,0.000204921,0.000203852,0.000201986,0.000195461,0.000198997,0.000196391,0.000200266,0.000203397,0.000184198,0.000188144,0.000228095,0.000192108,0.000149761,0.000149676,0.000154682,0.00015349,0.000152516,0.00015222,0.000181491,0.000194405,
Japan,0.000507893,0.000534732,0.00051055,0.000495616,0.000498668,0.00049453,0.000496527,0.00045036,0.000443694,0.000413379,0.000379341,0.000340346,0.000305874,0.000272989,0.000279792,0.000270026,0.00029453,0.000282707,0.000317087,0.000342501,0.000373476,0.000381116,0.000439953,0.00046544,0.000496954,0.000558772,0.000571355,0.000592068,0.000574074,0.000578821,0.000615132,0.000645657,0.000651202,0.000708932,0.000729186,0.00079167,0.000814873,0.00084896,0.000870738,0.000832792,0.00084174,0.000832263,0.000768978,0.000666296,0.000752914,0.000795198,0.00080197,0.000716088,0.000700872,0.000741128,0.000751248
Jordan,,,,,,,,,,,,5.31184E-07,5.10047E-07,4.93198E-07,4.78729E-07,4.65375E-07,5.69288E-07,3.28664E-07,3.20217E-07,3.11253E-07,3.01476E-07,3.90647E-07,3.75451E-07,4.52636E-07,4.34325E-07,4.17347E-07,5.73225E-06,8.00951E-06,6.39145E-06,1.65539E-05,4.74264E-05,4.40553E-05,4.49288E-05,4.68817E-05,6.45404E-05,6.37754E-05,6.09373E-05,6.27084E-05,6.2922E-05,6.01334E-05,5.92358E-05,5.718E-05,5.25487E-05,5.6268E-05,5.64465E-05,4.79021E-05,5.28213E-05,4.88938E-05,4.71011E-05,4.86437E-05,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005472199,0.00553024,0.005417026,0.004814187,0.004395513,0.003985334,0.004030337,0.004204972,0.004217305,0.004348134,0.005209,0.00559297,0.006068959,0.006754012,0.007538514,0.007735763,0.008260206,0.008451044,0.009084522,0.009204796,
Kenya,,,,,,,,,,,,0.000366818,0.000367187,0.000367177,0.00036798,0.000368476,0.000367847,0.000368616,0.00037022,0.000371204,0.00036959,0.000371191,0.000371276,0.000372188,0.000371816,0.000372791,0.000386553,0.000386272,0.000385598,0.000385254,0.000384413,0.0003834,0.000381545,0.000381108,0.000379894,0.000382546,0.000381974,0.000380099,0.000380375,0.000377415,0.000375245,0.000378839,0.000379536,0.000389303,0.00039349,0.000392122,0.000392116,0.000392055,0.000393454,0.000394626,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,0.001240818,0.001240234,0.001236147,0.00125087,0.001272975,0.001327335,0.001387065,0.001437287,0.001507048,0.001578307,0.001606368,0.001659324,0.001640881,0.001655758,0.001699164,0.001659448,0.001607555,0.00156424,0.001530727,0.001435422,0.001372221,0.001175463,0.001064075,0.000991061,0.000919817,0.000810983,0.000780114,0.000704391,0.000778307,0.000820698,0.000835203,0.000801458,0.000821879,0.000857574,0.000927677,0.000931561,0.000819914,0.000862665,0.000836019,
"Korea, Rep.",,,,,,,,,,,,0.000198728,0.000189063,0.000202139,0.000224126,0.000242313,0.000221212,0.000227415,0.000239378,0.000244814,0.000247515,0.000255648,0.000258772,0.000287745,0.000317683,0.000360343,0.000447929,0.000514148,0.000509555,0.000514279,0.000526346,0.000511771,0.00046638,0.000455345,0.000434315,0.00047352,0.000500323,0.000524657,0.000595144,0.000669722,0.000747501,0.000754788,0.000750565,0.000813749,0.000817136,0.000912651,0.0009251,0.000896949,0.000937088,0.000923878,0.000925986
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,0.198812443,0.199659916,0.172151411,0.136954927,0.106155677,0.102671962,0.089647969,0.093003184,0.105818464,0.06797431,0.044048373,0.030657003,0.03772088,0.040228881,0.034889074,0.03544741,0.035947705,0.040888726,0.047488825,0.024128615,0.004947261,0.031082539,0.059358188,0.067533982,0.070624849,0.070811995,0.068631208,0.066623355,0.058020381,0.058902094,0.05573507,0.048717538,0.056889868,0.060092655,0.064871427,0.064208589,0.060017087,0.060153134,0.049216229,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00056935,0.000548776,0.000406116,0.000350252,0.000322567,0.000274105,0.000283118,0.000266107,0.000230848,0.000265609,0.00029124,0.000271292,0.000240589,0.000280112,0.000293932,0.000286973,0.000292643,0.00027762,0.000228701,0.000220228,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000421373,0.000424633,0.000413527,0.000459058,0.000523905,0.000574545,0.000582996,0.000665707,0.000731639,0.000683319,0.00059076,0.000643255,0.000684634,0.000744105,0.000796464,0.000807037,0.000805149,0.000789599,0.000787665,0.000927296,
Lebanon,,,,,,,,,,,,6.66368E-05,6.49707E-05,5.33998E-05,6.52135E-05,6.41893E-05,6.37375E-05,6.34812E-05,6.31961E-05,6.39593E-05,6.35499E-05,6.31006E-05,5.65623E-05,5.33751E-05,5.38158E-05,5.35682E-05,5.28514E-05,5.44922E-05,5.42755E-05,5.16995E-05,4.84478E-05,4.99114E-05,5.33767E-05,5.25448E-05,5.49456E-05,5.20093E-05,5.35331E-05,5.57399E-05,5.28957E-05,4.21143E-05,4.46866E-05,4.18977E-05,4.94372E-05,6.41362E-05,5.84421E-05,5.65413E-05,4.89199E-05,4.64839E-05,3.97911E-05,4.13308E-05,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,0.066115012,0.052939624,0.049711584,0.033920797,0.03194965,0.039731028,0.040326651,0.037207265,0.037524248,0.031521077,0.019997917,0.017870028,0.016379538,0.015863579,0.014863462,0.014328517,0.013543524,0.01409573,0.014383312,0.016881631,0.018470753,0.01729088,0.016114019,0.015991231,0.015941011,0.01557557,0.015306154,0.015523549,0.013495373,0.013924899,0.013493614,0.012124174,0.013987514,0.015258006,0.016367883,0.016991076,0.016217725,0.016349233,0.01391349,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001335463,0.001332149,0.001185132,0.001049821,0.000737955,0.001060006,0.001245927,0.001135682,0.001300034,0.001038559,0.000960333,0.00122514,0.001461019,0.001557807,0.001515207,0.001147589,0.001025846,0.001125056,0.001146804,0.001260369,
Luxembourg,5.47767E-06,1.54538E-05,1.20564E-05,5.29273E-07,1.96285E-05,2.56829E-05,2.32108E-05,2.4927E-05,2.51153E-05,2.16964E-05,2.43408E-05,1.38078E-05,1.61186E-05,1.15023E-05,2.00711E-05,1.70104E-05,1.09512E-05,6.68819E-05,6.65924E-05,7.17831E-05,8.07836E-05,8.30889E-05,7.86091E-05,7.78357E-05,8.4552E-05,8.36342E-05,7.08449E-05,9.09802E-05,9.78346E-05,9.31928E-05,7.55512E-05,7.90839E-05,0.000116662,0.000111528,0.000112786,0.000109341,9.04138E-05,0.000101346,0.000124831,0.000124096,0.000131539,0.000132434,0.0001266,0.00013021,0.000147837,0.000193184,0.000197328,0.000198907,0.000208005,0.000213282,0.000204898
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000658251,0.000701285,0.000794054,0.000778429,0.000774408,0.000812512,0.000794669,0.000752395,0.000877271,0.000815823,0.000763874,0.000781267,0.000748203,0.000821795,0.000785922,0.000774399,0.000791658,0.000734192,0.000791222,0.000781647,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,0.000426561,0.000525257,0.000508139,0.00046842,0.000542001,0.000795744,0.000852911,0.001134856,0.001393567,0.001315986,0.001198674,0.001363408,0.001817947,0.002175634,0.00216989,0.002479027,0.002459187,0.002552865,0.002662198,0.002678002,0.002821698,0.00282239,0.002864301,0.002886702,0.003115149,0.003297573,0.003382461,0.003342835,0.003184936,0.003251652,0.003219126,0.003283573,0.003349423,0.003456595,0.003505453,0.003394549,0.003332149,0.003385857,0.003209134,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94167E-07,7.65835E-07,9.97095E-07,1.28269E-06,1.56902E-06,1.9098E-06,2.19111E-06,2.58899E-06,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,0.000811359,0.000818028,0.000832885,0.000944262,0.001046559,0.001095909,0.001242107,0.001451374,0.001691636,0.002137843,0.00243509,0.002724581,0.002638412,0.002613415,0.002531508,0.002342247,0.002405039,0.002346041,0.002304509,0.00230887,0.002351767,0.002304476,0.002280302,0.002245872,0.002184353,0.002258903,0.002306254,0.00231071,0.0022391,0.002223908,0.002228846,0.002197017,0.002277923,0.002347902,0.002385123,0.002324011,0.002235339,0.0021093,0.001963979,0.001919238
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32728E-05,1.50469E-05,1.32668E-05,1.44693E-05,1.2053E-05,1.24764E-05,2.11327E-05,2.34567E-05,1.48244E-05,1.53277E-05,1.55423E-05,1.83753E-05,1.90362E-05,2.17049E-05,2.4075E-05,2.3477E-05,2.34923E-05,2.3997E-05,2.79429E-05,2.88025E-05,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,0.001293657,0.001354655,0.001460457,0.001564087,0.001436599,0.00125364,0.001460373,0.001288273,0.001125569,0.001016438,0.00097832,0.000805545,0.000772013,0.00078469,0.000769291,0.000794605,0.000781525,0.000834685,0.000797225,0.000804684,0.001342934,0.001449149,0.001705562,0.001914705,0.002835879,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,3.94511E-05,4.24312E-05,4.16948E-05,4.33978E-05,4.31693E-05,4.55674E-05,4.94817E-05,4.63828E-05,4.69587E-05,4.48668E-05,4.04257E-05,3.82295E-05,3.9466E-05,4.04202E-05,3.9191E-05,3.90625E-05,3.482E-05,3.48819E-05,3.1183E-05,3.12028E-05,3.30655E-05,3.17722E-05,3.02263E-05,3.20144E-05,3.08574E-05,3.20976E-05,3.037E-05,2.7236E-05,2.16247E-05,1.98197E-05,2.00341E-05,1.98844E-05,2.1465E-05,2.26185E-05,2.008E-05,2.04873E-05,2.06023E-05,2.02172E-05,2.4708E-05,
Mozambique,,,,,,,,,,,,0.00063787,0.000619862,0.000606385,0.000597178,0.000591084,0.000572952,0.000545221,0.00052385,0.000511891,0.000501131,0.00049219,0.000476,0.000459628,0.00045063,0.000444258,0.000435101,0.000432364,0.000428185,0.000423205,0.000413976,0.000404057,0.000393291,0.000383724,0.000376669,0.000370771,0.000365981,0.000365188,0.000391576,0.000392519,0.000398782,0.000403849,0.00040433,0.000392019,0.00044675,0.000484114,0.000502448,0.000507795,0.000516199,0.000521379,
Myanmar,,,,,,,,,,,,0.000273831,0.000277568,0.000277459,0.000272606,0.000275408,0.000282322,0.000286027,0.000285412,0.000285849,0.000289516,0.000287621,0.00028547,0.000286713,0.000294157,0.000307222,0.000304963,0.00029222,0.000279495,0.000282348,0.000271308,0.000262971,0.000267293,0.00025373,0.000263613,0.000261045,0.00025529,0.000257694,0.000276672,0.000307222,0.000342658,0.000349551,0.000360915,0.000400555,0.000446147,0.000499126,0.000492448,0.000508346,0.000486601,0.000469682,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000148459,0.000139487,0.000133075,0.000118444,0.000150609,0.0001354,0.000124082,0.000139969,0.000145625,0.000151086,0.00015273,0.000151073,0.000157772,0.000158172,0.000155675,0.000147788,0.000153971,0.000147017,0.000146559,
Nepal,,,,,,,,,,,,0.000295091,0.000294794,0.000294364,0.000294049,0.000293542,0.000293497,0.000293213,0.000292953,0.000292732,0.000292634,0.000292131,0.000291811,0.000291263,0.000290654,0.00029014,0.000289961,0.000289308,0.000288572,0.000288475,0.000288285,0.00028741,0.000286101,0.000285126,0.000284339,0.000284256,0.000283345,0.000281948,0.000281328,0.000281545,0.000292552,0.000293751,0.000298,0.000298123,0.000298282,0.000298808,0.00029801,0.000298256,0.000299009,0.000299714,
Netherlands,0.000893284,0.000906829,0.000850176,0.000847049,0.000859492,0.000907644,0.000924184,0.001022839,0.001357453,0.00174684,0.002227789,0.002851143,0.003611179,0.004248472,0.00494745,0.005244898,0.005566143,0.005504095,0.005027518,0.005251733,0.00509796,0.004712273,0.004035186,0.004318991,0.004377148,0.004589696,0.004288382,0.004238581,0.003759217,0.004023635,0.004065607,0.004493367,0.004462164,0.004505538,0.004335052,0.004324456,0.004804245,0.004242956,0.004056428,0.003772753,0.003629138,0.003852452,0.003779922,0.003638951,0.004193088,0.003816428,0.003730464,0.003724611,0.004035977,0.003807423,0.004198016
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,0.001048405,0.001064622,0.001088396,0.001196912,0.001299334,0.001284563,0.001280037,0.001165941,0.00118607,0.001196138,0.001205202,0.001189774,0.001309536,0.001353882,0.00150432,0.001555761,0.001749368,0.00195448,0.001905632,0.001683406,0.001738438,0.001823089,0.002095592,0.002221246,0.002461843,0.002738135,0.003001869,0.002922825,0.003125369,0.003410809,0.003372419,0.00351812,0.00352417,0.003617529,0.003481106,0.003465341,0.003721176,0.003867753,0.003542985,0.00360005,0.003659465,0.003633988,0.003695328,0.003328843,0.003194735,0.003041861,0.00312222,0.003313349,0.003503844,0.003519758,0.003789979
Nicaragua,,,,,,,,,,,,0.000297854,0.000297315,0.000302769,0.000303369,0.000305055,0.000308377,0.000296799,0.000290974,0.000291457,0.000279628,0.000276241,0.000277495,0.000277302,0.000337513,0.000351286,0.000323591,0.000319433,0.000319247,0.000356138,0.000362687,0.000365275,0.000352094,0.000340551,0.000327676,0.000322332,0.000326797,0.000330512,0.000296771,0.000296775,0.000305993,0.000299203,0.000317814,0.000341341,0.000360803,0.000360315,0.000380327,0.00029769,0.000300125,0.000298863,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
